Designator,Mid X,Mid Y,Layer,Rotation
C2,167.6,-113.8,bottom,-90
C3,161.7,-113.1,bottom,180
R11,163.7,-98.1,bottom,-90
R12,162.1,-99.3,bottom,180
R15,168.1,-98.1,bottom,-90
R16,169.2,-98.1,bottom,-90
U1,164.8,-106.8,bottom,90
Y1,164.8,-113.4,bottom,0
C1,168.9375,-111.2,top,90
C4,166.9,-109.2,top,0
C5,161,-103.2,top,-90
C6,168.8,-108.3,top,180
C7,168.5,-103.4,top,-90
Q2,164,-112.9375,top,-90
R1,167,-112,top,90
R2,163.9375,-110.2,top,0
R3,168.9375,-113.6,top,90
R4,168.3,-106.7,top,-90
R5,161.3,-108.8,top,90
R6,162.9,-109.2,top,180
R7,164.9,-109.2,top,180
R8,161.2,-113.3,top,180
R9,161.9,-99.8,top,0
R10,161.3,-100.9,top,180
R13,167.4,-99.9,top,0
R14,167.4,-100.9,top,180
R17,161.8,-110.2,top,180
SW1,164.8,-106.2,top,180
U2,164.6,-101.4,top,90
