Comment,Designator,Footprint,JLCPCB Part #(optional)
1n,"C1, C4",C_0402_1005Metric,C1523
18p,"C2, C3",C_0402_1005Metric,C1549
1u,"C5, C7",C_0603_1608Metric,C1592
100n,C6,C_0402_1005Metric,C1525
DO2019AA,Q2,SOT-23,C54349765
R050,R1,R_1206_3216Metric,C7419998
10K,"R2, R3, R4",R_0402_1005Metric,C60490
1K,R5,R_0402_1005Metric,C11702
100K,"R6, R7",R_0402_1005Metric,C25741
100R,"R8, R9, R11, R13, R15, R17",R_0402_1005Metric,C25076
2K2,"R10, R12, R14, R16",R_0402_1005Metric,C25879
YZA-054,SW1,YZA-054,C49339754
CH32V203CxTx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,C6407762
JTD6206S-3.0V,U2,SOT-23-3,C49308288
SX32Y024000BC1T001,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C7420736
